region,category,pair_id,app_name,package,collected_count,shared_count,collected_items:data->purpose,shared_items:data->purpose,link,notes
ru,transport_maps,maps,Yandex Maps,ru.yandex.yandexmaps,14,0,"Audio:Other audio files · Optional->App functionality, Analytics, Personalization; Device or other IDs:Device or other IDs->Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Messages:Other in-app messages · Optional->App functionality; Location:Approximate location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Location:Precise location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Files and docs:Files and docs · Optional->App functionality; Photos and videos:Photos · Optional->App functionality; Photos and videos:Videos · Optional->App functionality; App activity:App interactions · Optional->Analytics, Advertising or marketing, Personalization; App activity:In-app search history · Optional->Analytics, Advertising or marketing, Personalization; App activity:Other user-generated content · Optional->Analytics; App activity:Other actions · Optional->Analytics; Calendar:Calendar events · Optional->App functionality; Web browsing:Web browsing history · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Health and fitness:Fitness info · Optional->App functionality, Analytics; Personal info:Name · Optional->Account management; Personal info:Email address · Optional->Account management; Personal info:User IDs · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality, Account management; Personal info:Phone number · Optional->Account management; Personal info:Other info · Optional->Account management; Contacts:Contacts · Optional->App functionality; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics · Optional->Analytics; App info and performance:Other app performance data · Optional->Analytics; Financial info:User payment info · Optional->App functionality; Financial info:Purchase history · Optional->App functionality, Analytics",No data shared,https://play.google.com/store/apps/datasafety?id=ru.yandex.yandexmaps,Google Play Data safety: No data shared with third parties
eu,transport_maps,maps,Google Maps,com.google.android.apps.maps,11,0,"Photos and videos:Photos and Videos; Photos and videos:Photos · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Account management; Photos and videos:Videos · Optional->App functionality, Analytics, Fraud prevention, security, and compliance; Messages:Other in-app messages; Messages:Other in-app messages · Optional->App functionality, Analytics; Files and docs:Files and docs; Files and docs:Files and docs · Optional->Fraud prevention, security, and compliance; Personal info:Name · Optional->App functionality, Account management; Personal info:Email address · Optional->App functionality, Analytics, Developer communications, Fraud prevention, security, and compliance, Account management; Personal info:User IDs · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality, Advertising or marketing, Personalization, Account management; Personal info:Phone number · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Other info-> App functionality, Analytics, Personalization, Account management; Device or other IDs:Device or other IDs->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Audio:Voice or sound recordings; Audio:Voice or sound recordings · Optional->App functionality, Analytics, Personalization; Contacts:Contacts; Contacts:Contacts · Optional->App functionality, Personalization, Account management; Web browsing:Web browsing history; Web browsing:Web browsing history->Advertising or marketing; Location:Approximate location and Precise location; Location:Approximate location->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Precise location, App functionality, Analytics, Personalization; App info and performance:Crash logs->App functionality, Analytics, Fraud prevention, security, and compliance, Diagnostics, App functionality, Analytics, Fraud prevention, security, and compliance, Account management, Other app performance data, Analytics, Fraud prevention, security, and compliance; App activity:App interactions->App functionality, Analytics, Advertising or marketing, Personalization, In-app search history, App functionality, Analytics, Advertising or marketing, Personalization, Installed apps, App functionality, Analytics, Fraud prevention, security, and compliance; App activity:Other user-generated content · Optional->App functionality, Analytics, Personalization, Other actions, App functionality, Analytics",No data shared,https://play.google.com/store/apps/datasafety?id=com.google.android.apps.maps,Google Play Data safety: No data shared with third parties; Independent security review
ru,transport_taxi,taxi,Yandex Go Taxi,ru.yandex.taxi,11,1,"App activity:App interactions->Analytics, Advertising or marketing, Personalization; App activity:In-app search history-> Analytics, Advertising or marketing, Personalization; App activity:Other user-generated content · Optional->Analytics; App activity:Other actions · Optional->Analytics; Messages:Other in-app messages · Optional->App functionality, Fraud prevention, security, and compliance; Files and docs:Files and docs · Optional->App functionality; Contacts:Contacts · Optional->App functionality; Device or other IDs:Device or other IDs->Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics->Analytics; App info and performance:Other app performance data-> Analytics; Audio:Voice or sound recordings · Optional->App functionality, Analytics; Financial info:User payment info and Purchase history; Financial info:User payment info · Optional->App functionality, Fraud prevention, security, and compliance; Financial info:Purchase history-> App functionality, Analytics, Fraud prevention, security, and compliance; Personal info:Name · Optional->Account management; Personal info:Email address · Optional->Developer communications, Account management; Personal info:User Ids-> App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->Account management; Personal info:Phone number-> App functionality, Account management; Personal info:Other info · Optional->Account management; Photos and videos:Photos · Optional->App functionality; Photos and videos:Videos · Optional->App functionality; Location:Approximate location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Location:Precise location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization","Device or other IDs:Device or other IDs->Analytics, Advertising or marketing",https://play.google.com/store/apps/datasafety?id=ru.yandex.taxi,Google Play Data safety: Data may be shared with third parties
eu,transport_taxi,taxi,Bolt,ee.mtakso.client,4,0,"Personal info:User IDs->App functionality, Analytics, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality; Personal info:Other info · Optional->App functionality; App info and performance:Other app performance data->Analytics; Audio:Voice or sound recordings · Optional->App functionality, Fraud prevention, security, and compliance; App activity:App interactions->Analytics, Fraud prevention, security, and compliance; App activity:In-app search history-> App functionality, Analytics, Personalization; App activity:Other user-generated content · Optional->App functionality",No data shared,https://play.google.com/store/apps/datasafety?id=ee.mtakso.client,Google Play Data safety: No data shared with third parties
ru,transport_rail,rail1,RZD,ru.rzd.pass,9,0,"Financial info:User payment info and Purchase history; Financial info:User payment info->App functionality, Account management; Financial info:Purchase history, App functionality, Account management; App activity:In-app search history and Installed apps; App activity:In-app search history->App functionality, Analytics; App activity:Installed apps-> App functionality, Fraud prevention, security, and compliance; Location:Approximate location and Precise location; Location:Approximate location · Optional->App functionality; Location:Precise location · Optional->App functionality; Files and docs:Files and docs->App functionality; Personal info:Name->App functionality, Account management; Personal info:Email address-> App functionality, Account management; Personal info:User Ids-> App functionality, Account management; Personal info:Phone number-> App functionality, Account management, Personal info:Other info-> App functionality, Account management; Photos and videos:Photos · Optional->App functionality; Messages:Emails and Other in-app messages; Messages:Emails->App functionality, Account management; Messages:Other in-app messages · Optional->App functionality; App info and performance:Crash logs->Analytics; Device or other IDs:Device or other Ids->App functionality",No data shared,https://play.google.com/store/apps/datasafety?id=ru.rzd.pass,Google Play Data safety: No data shared with third parties
eu,transport_rail,rail1,DB Navigator,de.hafas.android.db,7,3,"Personal info:Name · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Email address · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:User IDs · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Address · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Phone number · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Other info · Optional->App functionality, Fraud prevention, security, and compliance, Account management; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> App functionality, Analytics; Financial info:User payment info and Purchase history; Financial info:User payment info · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Financial info:Purchase history · Optional->App functionality; Files and docs:Files and docs · Optional->App functionality; App activity:App interactions and In-app search history; App activity:App interactions->App functionality, Analytics; App activity:In-app search history-> App functionality; Photos and videos:Photos · Optional->App functionality; Device or other IDs:Device or other IDs->App functionality, Analytics, Advertising or marketing, Account management","App info and performance:Crash logs->Analytics; App activity:App interactions->Analytics; Device or other IDs:Device or other IDs->Analytics, Advertising or marketing",https://play.google.com/store/apps/datasafety?id=de.hafas.android.db,Google Play Data safety: Data may be shared with third parties
ru,transport_rail,rail2,Yandex Trains,ru.yandex.rasp,6,0,"Personal info:Name · Optional->App functionality, Fraud prevention, security, and compliance, Personalization; Personal info:Email address · Optional->App functionality, Fraud prevention, security, and compliance; Personal info:User IDs · Optional->App functionality, Analytics; Personal info:Address · Optional->App functionality, Analytics; Personal info:Phone number · Optional->App functionality; Personal info:Other info · Optional->App functionality, Analytics, Fraud prevention, security, and compliance; Location:Approximate location and Precise location; Location:Approximate location · Optional->App functionality, Personalization; Location:Precise location · Optional->App functionality, Personalization; Device or other IDs:Device or other IDs->Analytics; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics; Financial info:User payment info and Purchase history; Financial info:User payment info · Optional->App functionality, Fraud prevention, security, and compliance; Financial info:Purchase history · Optional->Analytics; App activity:App interactions and In-app search history; App activity:App interactions->Analytics; App activity:In-app search history-> App functionality, Analytics, Personalization",No data shared,https://play.google.com/store/apps/datasafety?id=ru.yandex.rasp,Google Play Data safety: No data shared with third parties
eu,transport_rail,rail2,Mobiliteit.lu,de.hafas.android.cdt,2,0,"Photos and videos:Photos; Photos and videos:Photos · Optional->Account management; Personal info:Name · Optional->Account management; Personal info:Email address · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:User IDs · Optional->App functionality, Personalization, Account management; Personal info:Address · Optional->Account management; Personal info:Phone number · Optional->Account management; Personal info:Other info · Optional->Account management",No data shared,https://play.google.com/store/apps/datasafety?id=de.hafas.android.cdt,Google Play Data safety: No data shared with third parties
ru,ecom_1,ecom1,Ozon,ru.ozon.app.android,7,4,"Device or other IDs:Device or other IDs · Optional->Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Photos and videos:Photos and Videos; Photos and videos:Photos · Optional->App functionality; Photos and videos:Videos · Optional->App functionality; Location:Approximate location; Location:Approximate location · Optional->App functionality, Analytics; Personal info:Name->App functionality; Personal info:Email address, App functionality; Personal info:User Ids-> App functionality, Analytics; Personal info:Address-> App functionality; Personal info:Phone number-> App functionality; Personal info:Sexual orientation · Optional->Analytics; Personal info:Other info-> App functionality, Analytics; App info and performance:Crash logs->App functionality, Analytics; App info and performance:Diagnostics-> App functionality, Analytics; App info and performance:Other app performance data, App functionality, Analytics; Financial info:User payment info · Optional->App functionality; App activity:App interactions->Analytics; App activity:In-app search history-> Analytics; App activity:Other user-generated content-> Analytics, App activity:Other actions-> Analytics","Device or other IDs:Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Location:Approximate location->App functionality, Analytics; Location:Precise location-> App functionality; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics; App info and performance:Other app performance data->Analytics; App activity:App interactions; App activity:App interactions->Analytics",https://play.google.com/store/apps/datasafety?id=ru.ozon.app.android,Google Play Data safety: Data may be shared with third parties
eu,ecom_1,ecom1,Amazon Shopping,com.amazon.mShop.android.shopping,11,6,"Health and fitness:Health info · Optional->App functionality, Account management; Personal info:Name · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Personal info:Email address · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Personal info:User IDs · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Personal info:Address · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Personal info:Phone number · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Personal info:Other info · Optional->App functionality, Fraud prevention, security, and compliance, Personalization, Account management; Photos and videos:Photos and Videos; Photos and videos:Photos · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Personalization; Photos and videos:Videos · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Personalization; Audio:Voice or sound recordings · Optional->App functionality, Analytics, Personalization; App info and performance:Crash logs->App functionality, Analytics; App info and performance:Diagnostics-> App functionality, Analytics, Fraud prevention, security, and compliance; App info and performance:Other app performance data-> App functionality, Analytics; Location:Approximate location and Precise location; Location:Approximate location · Optional->App functionality, Analytics, Advertising or marketing; Location:Precise location · Optional->App functionality, Analytics; Messages:Other in-app messages · Optional->App functionality; Device or other IDs:Device or other Ids->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention,->security, and compliance; Financial info:User payment info · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Financial info:Purchase history · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Financial info:Other financial info · Optional->App functionality, Analytics, Fraud prevention, security, and compliance; Files and docs:Files and docs · Optional->App functionality, Fraud prevention, security, and compliance; App activity:App interactions->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App activity:In-app search history · Optional->App functionality, Analytics, Advertising or marketing, Personalization, Account management; App activity:Other user-generated content · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Personalization; App activity:Other actions · Optional->App functionality, Analytics, Personalization","Health and fitness:Health info->App functionality; Personal info:Name->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Email address-> App functionality, Fraud prevention, security, and compliance; Personal info:Address-> App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Phone number-> App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Other info-> App functionality, Fraud prevention, security, and compliance, Account management; Photos and videos:Photos and Videos; Photos and videos:Photos->App functionality, Fraud prevention, security, and compliance, Photos and videos:Videos-> App functionality, Fraud prevention, security, and compliance; Device or other IDs:Device or other Ids->App functionality, Advertising or marketing, Fraud prevention, security, and compliance; Financial info:User payment info and Other financial info; Financial info:User payment info->App functionality, Fraud prevention, security, and compliance; Financial info:Other financial info-> App functionality; App activity:App interactions and Other user-generated content; App activity:App interactions->App functionality, Analytics, Fraud prevention, security, and compliance; App activity:Other user-generated content-> App functionality",https://play.google.com/store/apps/datasafety?id=com.amazon.mShop.android.shopping,Google Play Data safety: Data may be shared with third parties
ru,ecom_2,ecom2,Wildberries,com.wildberries.ru,4,6,"Location:Precise location · Optional->App functionality, Personalization; Personal info:Name · Optional->Fraud prevention, security, and compliance; Personal info:Email address · Optional->Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management;  Personal info:User Ids-> App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality; Personal info:Phone number · Optional->App functionality, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management;  Personal info:Other info-> Fraud prevention, security, and compliance; App activity:Other user-generated content · Optional->App functionality; Financial info:Purchase history->App functionality","Device or other IDs:Device or other Ids->App functionality, Analytics, Fraud prevention, security, and compliance, Account management; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics; App info and performance:Other app performance data-> Analytics; Personal info:Name->Fraud prevention, security, and compliance; Photos and videos:Photos->App functionality, Account management; App activity:App interactions->Analytics; App activity:Other user-generated content-> App functionality; App activity:Other actions-> Analytics; Financial info:User payment info->Fraud prevention, security, and compliance",https://play.google.com/store/apps/datasafety?id=com.wildberries.ru,Google Play Data safety: Data may be shared with third parties; Security practices: Data isn’t encrypted in transit
eu,ecom_2,ecom2,Zalando,de.zalando.mobile,5,5,"Device or other IDs:Device or other Ids->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Personal info:Name->App functionality, Advertising or marketing, Personalization, Account management; Personal info:Email address-> App functionality, Advertising or marketing, Account management; Personal info:User Ids-> App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address-> Personalization, Account management; Personal info:Phone number · Optional->Account management; Personal info:Other info · Optional->Account management; Financial info:User payment info->Account management; Financial info:Purchase history · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Financial info:Credit score-> Account management; App activity:App interactions · Optional->Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App activity:In-app search history · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App activity:Other actions · Optional->Personalization; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics, Fraud prevention, security, and compliance","Device or other IDs:Device or other Ids->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Personal info:Name->Personalization, Account management; Personal info:Email address-> Advertising or marketing, Account management; Personal info:User Ids-> Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address-> Account management; Personal info:Phone number-> Account management; Personal info:Other info-> Account management; Financial info:User payment info and Purchase history; Financial info:User payment info->Account management; Financial info:Purchase history-> Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Account management; App activity:App interactions and In-app search history; App activity:App interactions->Analytics, Advertising or marketing, Personalization, Account management; App activity:In-app search history-> Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics, Fraud prevention, security, and compliance",https://play.google.com/store/apps/datasafety?id=de.zalando.mobile,Google Play Data safety: Data may be shared with third parties
ru,ecom_3,ecom3,Yandex Market,ru.beru.android,10,4,"Messages:Other in-app messages · Optional->App functionality; Personal info:Name · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Email address · Optional->App functionality, Developer communications, Advertising or marketing, Account management; Personal info:User Ids-> App functionality, Analytics, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality, Fraud prevention, security, and compliance, Personalization; Personal info:Phone number · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Other info · Optional->Account management; Device or other IDs:Device or other IDs · Optional->Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Web browsing:Web browsing history · Optional->App functionality; Location:Approximate location and Precise location; Location:Approximate location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Location:Precise location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App activity:App interactions->Analytics; App activity:In-app search history · Optional->App functionality; App activity:Other user-generated content · Optional->App functionality; App activity:Other actions · Optional->Analytics; Photos and videos:Photos · Optional->App functionality, Developer communications; Photos and videos:Videos · Optional->App functionality; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics; App info and performance:Other app performance data-> Analytics; Files and docs:Files and docs · Optional->App functionality; Financial info:User payment info and Purchase history; Financial info:User payment info · Optional->App functionality, Fraud prevention, security, and compliance; Financial info:Purchase history · Optional->App functionality, Analytics","Messages:Other in-app messages->App functionality; Personal info:Name->Fraud prevention, security, and compliance; Personal info:Address-> Fraud prevention, security, and compliance; Personal info:Phone number-> Fraud prevention, security, and compliance; Photos and videos:Photos->App functionality; Photos and videos:Videos-> App functionality; Files and docs:App functionality",https://play.google.com/store/apps/datasafety?id=ru.beru.android,Google Play Data safety: Data may be shared with third parties
eu,ecom_3,ecom3,bol,com.bol.shop,8,0,"App activity:App interactions · Optional->App functionality, Analytics, Advertising or marketing, Personalization; App activity:In-app search history-> App functionality, Analytics, Advertising or marketing, Personalization; App activity:Other user-generated content · Optional->App functionality, Analytics; App activity:Other actions · Optional->Analytics, Advertising or marketing, Personalization; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics; Messages:Other in-app messages · Optional->App functionality, Analytics, Advertising or marketing; Financial info:User payment info and Purchase history; Financial info:User payment info · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Financial info:Purchase history · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Personalization, Account management; Web browsing:Web browsing history->Analytics, Advertising or marketing, Personalization; Device or other IDs:Device or other Ids->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention,->security, and compliance, Personalization, Account management; Personal info:Name · Optional->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Email address · Optional->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Personal info:User IDs · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Phone number · Optional->App functionality, Advertising or marketing, Account management; Personal info:Other info · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Location:Approximate location->Analytics, Advertising or marketing",No data shared,https://play.google.com/store/apps/datasafety?id=com.bol.shop,Google Play Data safety: No data shared with third parties
ru,ecom_4,ecom4,Avito,com.avito.android,0,0,no declared data,no declared data,https://www.rustore.ru/catalog/app/com.avito.android,Google Play Data safety: No data shared with third parties
